pais,acesso_agua,temp_media,area_floresta,precipitacao
ALGERIA,0.84,22.5,0.01,89.0
ANGOLA,0.75,21.55,0.46,1010.0
ANTIGUA AND BARBUDA,0.98,26.0,0.22,1030.0
ARGENTINA,0.99,14.8,0.1,591.0
ARMENIA,1.0,7.15,0.12,562.0
AUSTRALIA,1.0,21.65,0.16,534.0
AUSTRIA,1.0,6.35,0.47,1110.0
AZERBAIJAN,0.95,11.95,0.14,447.0
BAHRAIN,1.0,27.15,0.01,83.0
BARBADOS,1.0,26.0,0.15,1422.0
BELARUS,1.0,6.15,0.43,618.0
BELGIUM,1.0,9.55,0.23,847.0
BELIZE,0.99,25.3,0.6,1705.0
BENIN,0.85,27.55,0.38,1039.0
BHUTAN,1.0,7.4,0.72,2200.0
BOLIVIA,0.97,21.55,0.5,1146.0
BOSNIA AND HERZEGOVINA,1.0,9.85,0.43,1028.0
BRAZIL,1.0,24.95,0.59,1761.0
BULGARIA,1.0,10.55,0.35,608.0
BURKINA FASO,0.98,28.25,0.19,748.0
CAMBODIA,1.0,26.8,0.53,1904.0
CANADA,1.0,-5.35,0.38,537.0
CHILE,1.0,8.45,0.24,1522.0
CHINA,0.98,6.95,0.22,645.0
COLOMBIA,0.97,24.5,0.53,3240.0
COMOROS,0.93,25.55,0.2,900.0
CONGO,0.96,24.55,0.65,1646.0
COSTA RICA,1.0,24.8,0.55,2926.0
IVORY COAST,0.93,26.35,0.33,1348.0
CROATIA,1.0,10.9,0.34,1113.0
CUBA,0.96,25.2,0.31,1335.0
CYPRUS,1.0,18.45,0.19,498.0
CZECH REPUBLIC,1.0,7.55,0.35,677.0
DR CONGO,0.81,24.0,0.67,1543.0
DENMARK,1.0,7.5,0.15,703.0
DJIBOUTI,0.97,28.0,0.0,220.0
DOMINICA,0.96,22.35,0.57,2083.0
DOMINICAN REPUBLIC,0.85,24.55,0.42,1410.0
ECUADOR,0.93,21.85,0.5,2274.0
EGYPT,1.0,22.1,0.0,51.0
EL SALVADOR,0.98,24.45,0.13,1784.0
EQUATORIAL GUINEA,0.72,24.55,0.55,2156.0
ERITREA,0.73,25.5,0.15,384.0
ESTONIA,1.0,5.1,0.51,626.0
ETHIOPIA,0.93,22.2,0.13,848.0
FIJI,1.0,24.4,0.56,2592.0
FINLAND,1.0,1.7,0.73,536.0
FRANCE,1.0,10.7,0.31,867.0
GABON,0.97,25.05,0.9,1831.0
GAMBIA,0.94,27.5,0.48,836.0
GEORGIA,1.0,5.8,0.41,1026.0
GERMANY,1.0,8.5,0.33,700.0
GHANA,0.93,27.2,0.41,1187.0
GREECE,1.0,15.4,0.32,652.0
GRENADA,0.99,26.65,0.5,2350.0
GUATEMALA,0.98,23.45,0.33,1996.0
